Year,Month,Anomaly
1974,June,-0.05
1974,July,-0.03
1974,August,0.11
1974,September,-0.08
1974,October,-0.05
1974,November,-0.07
1974,December,-0.08
1975,January,0.1
1975,February,0.08
1975,March,0.12
1975,April,0.04
1975,May,0.16
1975,June,-0.01
1975,July,-0.01
1975,August,-0.17
1975,September,-0.03
1975,October,-0.11
1975,November,-0.17
1975,December,-0.17
1976,January,-0.03
1976,February,-0.06
1976,March,-0.21
1976,April,-0.07
1976,May,-0.2
1976,June,-0.12
1976,July,-0.1
1976,August,-0.12
1976,September,-0.06
1976,October,-0.24
1976,November,-0.05
1976,December,0.11
1977,January,0.18
1977,February,0.23
1977,March,0.25
1977,April,0.26
1977,May,0.33
1977,June,0.27
1977,July,0.2
1977,August,0.18
1977,September,0.02
1977,October,0.03
1977,November,0.16
1977,December,0.03
1978,January,0.06
1978,February,0.1
1978,March,0.19
1978,April,0.17
1978,May,0.09
1978,June,-0.01
1978,July,0.04
1978,August,-0.13
1978,September,0.06
1978,October,0.03
1978,November,0.14
1978,December,0.08
1979,January,0.08
1979,February,-0.1
1979,March,0.19
1979,April,0.15
1979,May,0.04
1979,June,0.14
1979,July,0.04
1979,August,0.17
1979,September,0.25
1979,October,0.26
1979,November,0.29
1979,December,0.48
1980,January,0.3
1980,February,0.4
1980,March,0.3
1980,April,0.3
1980,May,0.35
1980,June,0.21
1980,July,0.22
1980,August,0.19
1980,September,0.21
1980,October,0.13
1980,November,0.3
1980,December,0.22
1981,January,0.53
1981,February,0.43
1981,March,0.48
1981,April,0.32
1981,May,0.25
1981,June,0.29
1981,July,0.32
1981,August,0.35
1981,September,0.15
1981,October,0.12
1981,November,0.23
1981,December,0.41
1982,January,0.05
1982,February,0.16
1982,March,0.03
1982,April,0.15
1982,May,0.18
1982,June,0.06
1982,July,0.14
1982,August,0.04
1982,September,0.14
1982,October,0.13
1982,November,0.18
1982,December,0.42
1983,January,0.53
1983,February,0.43
1983,March,0.42
1983,April,0.28
1983,May,0.34
1983,June,0.23
1983,July,0.18
1983,August,0.35
1983,September,0.37
1983,October,0.17
1983,November,0.3
1983,December,0.17
1984,January,0.31
1984,February,0.14
1984,March,0.26
1984,April,0.06
1984,May,0.33
1984,June,0.02
1984,July,0.19
1984,August,0.2
1984,September,0.21
1984,October,0.14
1984,November,0.07
1984,December,-0.04
1985,January,0.22
1985,February,-0.04
1985,March,0.18
1985,April,0.12
1985,May,0.15
1985,June,0.15
1985,July,0.04
1985,August,0.17
1985,September,0.13
1985,October,0.12
1985,November,0.05
1985,December,0.14
1986,January,0.26
1986,February,0.37
1986,March,0.3
1986,April,0.22
1986,May,0.21
1986,June,0.12
1986,July,0.11
1986,August,0.16
1986,September,0.03
1986,October,0.16
1986,November,0.1
1986,December,0.13
1987,January,0.32
1987,February,0.43
1987,March,0.18
1987,April,0.25
1987,May,0.26
1987,June,0.35
1987,July,0.41
1987,August,0.25
1987,September,0.35
1987,October,0.33
1987,November,0.29
1987,December,0.46
1988,January,0.57
1988,February,0.45
1988,March,0.52
1988,April,0.43
1988,May,0.44
1988,June,0.4
1988,July,0.33
1988,August,0.39
1988,September,0.37
1988,October,0.38
1988,November,0.12
1988,December,0.29
1989,January,0.12
1989,February,0.3
1989,March,0.36
1989,April,0.29
1989,May,0.17
1989,June,0.17
1989,July,0.34
1989,August,0.33
1989,September,0.35
1989,October,0.29
1989,November,0.19
1989,December,0.37
1990,January,0.42
1990,February,0.44
1990,March,0.8
1990,April,0.56
1990,May,0.46
1990,June,0.38
1990,July,0.46
1990,August,0.34
1990,September,0.23
1990,October,0.45
1990,November,0.47
1990,December,0.41
1991,January,0.43
1991,February,0.5
1991,March,0.35
1991,April,0.51
1991,May,0.34
1991,June,0.53
1991,July,0.48
1991,August,0.39
1991,September,0.44
1991,October,0.29
1991,November,0.3
1991,December,0.32
1992,January,0.47
1992,February,0.4
1992,March,0.48
1992,April,0.27
1992,May,0.31
1992,June,0.26
1992,July,0.09
1992,August,0.08
1992,September,-0.01
1992,October,0.06
1992,November,0.03
1992,December,0.21
